COUNTER;INTERPOLATED;RAW_CQ;AF3;F7;F3; FC5; T7; P7; O1; O2;P8;T8; FC6; F4;F8; AF4;GYROX; GYROY; TIMESTAMP; ES_TIMESTAMP;FUNC_ID; FUNC_VALUE; MARKER; SYNC_SIGNAL;
47;0;0;4189.23076923077;4403.58974358974;5100;4866.66666666667;4505.12820512821;4485.64102564103;4184.10256410256;4165.12820512821;4479.48717948718;4416.41025641026;3913.84615384615;4397.4358974359;4136.41025641026;4356.92307692308;1699;1680;235.707;235.209945678711;0;0;0;0;
48;0;0;4187.17948717949;4405.64102564103;5101.53846153846;4866.66666666667;4507.17948717949;4488.71794871795;4185.12820512821;4167.69230769231;4477.4358974359;4415.89743589744;3910.76923076923;4395.38461538462;4135.89743589744;4354.8717948718;1698;1681;235.712;235.209945678711;0;0;0;0;
49;0;0;4186.66666666667;4401.02564102564;5101.02564102564;4872.30769230769;4509.74358974359;4491.79487179487;4186.15384615385;4169.74358974359;4480;4411.28205128205;3909.74358974359;4397.4358974359;4129.74358974359;4356.41025641026;1698;1681;235.72;235.209945678711;0;0;0;0;
50;0;0;4185.12820512821;4389.74358974359;5097.94871794872;4863.58974358974;4504.10256410256;4490.25641025641;4186.66666666667;4168.71794871795;4483.58974358974;4411.79487179487;3910.25641025641;4398.97435897436;4123.58974358974;4352.30769230769;1699;1680;235.728;235.209945678711;0;0;0;0;
51;0;0;4176.41025641026;4386.15384615385;5095.38461538462;4855.89743589744;4492.82051282051;4490.25641025641;4183.07692307692;4168.71794871795;4481.53846153846;4415.38461538462;3911.79487179487;4395.89743589744;4127.17948717949;4350.76923076923;1699;1681;235.735;235.679107666016;0;0;0;0;
52;0;0;4168.71794871795;4385.64102564103;5091.28205128205;4861.53846153846;4493.33333333333;4491.28205128205;4183.58974358974;4168.20512820513;4474.35897435897;4412.30769230769;3910.76923076923;4391.28205128205;4130.25641025641;4349.74358974359;1700;1679;235.743;235.679107666016;0;0;0;0;
53;0;0;4169.74358974359;4383.58974358974;5086.66666666667;4864.10256410256;4504.10256410256;4489.74358974359;4187.17948717949;4168.71794871795;4476.92307692308;4411.28205128205;3907.69230769231;4387.17948717949;4123.58974358974;4344.10256410256;1699;1680;235.751;235.679107666016;0;0;0;0;
54;0;0;4172.30769230769;4383.58974358974;5087.17948717949;4863.07692307692;4509.74358974359;4494.8717948718;4186.15384615385;4170.76923076923;4489.74358974359;4421.53846153846;3909.23076923077;4383.58974358974;4124.10256410256;4342.05128205128;1700;1680;235.759;235.679107666016;0;0;0;0;
55;0;0;4168.71794871795;4384.10256410256;5086.15384615385;4863.07692307692;4507.69230769231;4504.61538461538;4188.71794871795;4170.25641025641;4489.74358974359;4422.05128205128;3910.76923076923;4381.02564102564;4129.74358974359;4340.51282051282;1700;1680;235.767;235.710372924805;0;0;0;0;
56;0;0;4166.15384615385;4383.58974358974;5083.07692307692;4859.48717948718;4509.74358974359;4506.66666666667;4196.41025641026;4168.71794871795;4482.05128205128;4411.79487179487;3908.71794871795;4381.53846153846;4127.17948717949;4337.94871794872;1700;1681;235.774;235.710372924805;0;0;0;0;
