COUNTER;INTERPOLATED;RAW_CQ;AF3;F7;F3;FC5;T7;P7;O1;O2;P8;T8;FC6;F4;F8;AF4;GYROX;GYROY;TIMESTAMP;ES_TIMESTAMP;FUNC_ID;FUNC_VALUE;MARKER;SYNC_SIGNAL
32;0;0;4152.82051282051;4377.94871794872;5087.17948717949;4872.30769230769;4564.10256410256;4486.66666666667;4231.28205128205;4190.76923076923;4506.15384615385;4443.07692307692;3913.84615384615;4427.69230769231;4134.8717948718;4325.64102564103;1699;1681;694.265;693.596069335938;0;0;0;0;
33;0;0;4157.4358974359;4383.07692307692;5094.8717948718;4874.8717948718;4566.15384615385;4496.41025641026;4233.84615384615;4213.33333333333;4512.30769230769;4451.28205128205;3928.71794871795;4431.28205128205;4144.61538461538;4333.84615384615;1699;1681;694.273;693.596069335938;0;0;0;0;
34;0;0;4154.8717948718;4380;5090.25641025641;4874.35897435897;4568.71794871795;4507.17948717949;4235.38461538462;4215.89743589744;4506.15384615385;4446.66666666667;3920;4427.17948717949;4137.94871794872;4328.71794871795;1700;1681;694.281;693.596069335938;0;0;0;0;
35;0;0;4152.82051282051;4376.41025641026;5086.66666666667;4872.30769230769;4567.17948717949;4509.74358974359;4231.79487179487;4204.10256410256;4505.64102564103;4443.07692307692;3912.82051282051;4426.66666666667;4134.35897435897;4326.15384615385;1699;1681;694.289;693.596069335938;0;0;0;0;
36;0;0;4157.4358974359;4380.51282051282;5094.8717948718;4875.89743589744;4569.23076923077;4515.38461538462;4236.41025641026;4198.46153846154;4513.84615384615;4456.92307692308;3927.17948717949;4430.25641025641;4148.71794871795;4335.89743589744;1700;1681;694.297;693.596069335938;0;0;0;0;
37;0;0;4159.48717948718;4385.64102564103;5095.38461538462;4878.97435897436;4571.79487179487;4514.35897435897;4249.23076923077;4192.30769230769;4513.33333333333;4458.97435897436;3928.20512820513;4426.15384615385;4153.84615384615;4339.48717948718;1699;1680;694.304;693.596069335938;0;0;0;0;
38;0;0;4155.89743589744;4382.5641025641;5085.12820512821;4876.41025641026;4569.74358974359;4510.25641025641;4248.71794871795;4186.15384615385;4507.69230769231;4448.71794871795;3910.76923076923;4418.97435897436;4143.58974358974;4332.82051282051;1699;1682;694.312;693.596069335938;0;0;0;0;
39;0;0;4154.35897435897;4377.4358974359;5085.64102564103;4874.8717948718;4569.23076923077;4513.84615384615;4237.4358974359;4184.10256410256;4508.20512820513;4455.89743589744;3908.71794871795;4420.51282051282;4137.4358974359;4330.25641025641;1699;1680;694.32;693.596069335938;0;0;0;0;
40;0;0;4155.89743589744;4380.51282051282;5090.76923076923;4876.41025641026;4571.79487179487;4514.35897435897;4235.89743589744;4185.64102564103;4511.28205128205;4460;3915.89743589744;4425.12820512821;4140.51282051282;4331.28205128205;1698;1681;694.328;693.596069335938;0;0;0;0;
41;0;0;4154.8717948718;4381.02564102564;5086.66666666667;4875.89743589744;4570.76923076923;4506.66666666667;4236.41025641026;4194.8717948718;4507.17948717949;4444.61538461538;3912.30769230769;4420;4138.97435897436;4327.69230769231;1699;1680;694.336;693.596069335938;0;0;0;0;
42;0;0;4153.33333333333;4374.8717948718;5084.10256410256;4874.35897435897;4569.23076923077;4502.05128205128;4232.30769230769;4194.35897435897;4504.10256410256;4440;3908.71794871795;4414.8717948718;4133.33333333333;4326.15384615385;1698;1680;694.343;693.596069335938;0;0;0;0;
43;0;0;4154.35897435897;4373.33333333333;5086.15384615385;4873.84615384615;4569.74358974359;4497.4358974359;4235.89743589744;4188.20512820513;4505.12820512821;4446.66666666667;3909.23076923077;4414.35897435897;4134.35897435897;4328.20512820513;1699;1681;694.351;693.596069335938;0;0;0;0;
44;0;0;4155.89743589744;4380;5083.58974358974;4873.84615384615;4569.74358974359;4488.20512820513;4242.5641025641;4206.15384615385;4505.12820512821;4446.15384615385;3910.25641025641;4413.33333333333;4137.4358974359;4325.64102564103;1698;1680;694.359;693.596069335938;0;0;0;0;
45;0;0;4156.92307692308;4382.05128205128;5081.53846153846;4873.84615384615;4569.74358974359;4488.20512820513;4246.66666666667;4215.89743589744;4505.64102564103;4444.10256410256;3908.71794871795;4414.35897435897;4135.89743589744;4322.05128205128;1699;1680;694.368;693.596069335938;0;0;0;0;
46;0;0;4155.89743589744;4376.92307692308;5084.61538461539;4872.82051282051;4570.76923076923;4497.94871794872;4250.25641025641;4188.20512820513;4505.64102564103;4442.5641025641;3906.66666666667;4413.33333333333;4131.28205128205;4321.02564102564;1697;1681;694.376;693.596069335938;0;0;0;0;
47;0;0;4158.97435897436;4375.89743589744;5086.15384615385;4873.33333333333;4569.74358974359;4505.64102564103;4248.20512820513;4180;4506.66666666667;4448.20512820513;3907.17948717949;4413.33333333333;4132.82051282051;4321.53846153846;1698;1681;694.383;693.596069335938;0;0;0;0;
48;0;0;4167.17948717949;4380.51282051282;5089.23076923077;4874.35897435897;4570.25641025641;4504.61538461538;4246.15384615385;4198.97435897436;4511.28205128205;4458.97435897436;3909.23076923077;4420;4137.94871794872;4325.64102564103;1698;1680;694.391;693.596069335938;0;0;0;0;
49;0;0;4170.25641025641;4382.5641025641;5094.35897435897;4874.8717948718;4572.82051282051;4507.69230769231;4257.4358974359;4202.5641025641;4520;4462.05128205128;3914.8717948718;4426.15384615385;4138.97435897436;4330.76923076923;1697;1681;694.399;693.596069335938;0;0;0;0;
50;0;0;4167.69230769231;4379.48717948718;5092.82051282051;4874.35897435897;4571.79487179487;4522.05128205128;4264.10256410256;4198.97435897436;4524.10256410256;4463.58974358974;3921.02564102564;4425.64102564103;4138.97435897436;4333.33333333333;1698;1680;694.407;693.596069335938;0;0;0;0;
