COUNTER;INTERPOLATED;RAW_CQ;AF3;F7;F3; FC5; T7; P7; O1; O2;P8;T8; FC6; F4;F8; AF4;GYROX; GYROY; TIMESTAMP; ES_TIMESTAMP;FUNC_ID; FUNC_VALUE; MARKER; SYNC_SIGNAL;
88;0;464;4105.12820512821;4340.51282051282;5048.20512820513;4851.28205128205;4510.25641025641;4505.64102564103;4187.17948717949;4171.79487179487;4476.41025641026;4429.23076923077;3893.84615384615;4365.64102564103;4102.05128205128;4274.8717948718;1699;1681;295.539;295.253723144531;0;0;0;0;
89;0;437;4105.12820512821;4344.61538461538;5050.25641025641;4846.66666666667;4516.92307692308;4504.10256410256;4190.76923076923;4173.84615384615;4473.84615384615;4428.20512820513;3893.84615384615;4362.5641025641;4101.02564102564;4276.92307692308;1699;1682;295.547;295.253723144531;0;0;0;0;
90;0;441;4106.15384615385;4342.5641025641;5051.28205128205;4841.53846153846;4511.28205128205;4502.5641025641;4186.66666666667;4174.35897435897;4474.35897435897;4427.17948717949;3894.35897435898;4364.10256410256;4095.89743589744;4277.94871794872;1699;1681;295.555;295.253723144531;0;0;0;0;
91;0;441;4105.12820512821;4340;5051.79487179487;4845.64102564103;4505.64102564103;4504.10256410256;4185.64102564103;4177.94871794872;4473.84615384615;4427.17948717949;3894.8717948718;4364.10256410256;4097.94871794872;4278.97435897436;1699;1681;295.563;295.253723144531;0;0;0;0;
92;0;464;4105.12820512821;4343.07692307692;5052.30769230769;4848.20512820513;4511.28205128205;4505.12820512821;4194.35897435897;4181.02564102564;4471.28205128205;4427.17948717949;3888.20512820513;4358.97435897436;4103.07692307692;4276.92307692308;1698;1680;295.57;295.253723144531;0;0;0;0;
93;0;437;4106.66666666667;4343.58974358974;5055.89743589744;4847.69230769231;4511.28205128205;4505.64102564103;4195.38461538462;4182.5641025641;4473.84615384615;4427.17948717949;3882.05128205128;4355.38461538462;4098.46153846154;4276.92307692308;1699;1681;295.578;295.253723144531;0;0;0;0;
94;0;441;4106.15384615385;4342.05128205128;5055.89743589744;4846.66666666667;4505.64102564103;4506.66666666667;4189.23076923077;4182.5641025641;4470.76923076923;4423.58974358974;3883.07692307692;4356.92307692308;4091.79487179487;4277.4358974359;1699;1680;295.586;295.253723144531;0;0;0;0;
95;0;441;4104.10256410256;4342.05128205128;5051.28205128205;4844.61538461539;4508.20512820513;4506.15384615385;4192.82051282051;4181.53846153846;4460.51282051282;4420.51282051282;3881.53846153846;4355.89743589744;4090.76923076923;4269.23076923077;1699;1682;295.594;295.253723144531;0;0;0;0;
96;0;464;4104.10256410256;4341.53846153846;5048.71794871795;4845.12820512821;4512.82051282051;4506.15384615385;4201.02564102564;4183.58974358974;4464.61538461538;4424.61538461538;3880;4352.82051282051;4092.30769230769;4266.15384615385;1699;1680;295.602;295.253723144531;0;0;0;0;
97;0;437;4105.64102564103;4341.53846153846;5051.28205128205;4846.15384615385;4512.82051282051;4508.20512820513;4201.02564102564;4186.66666666667;4475.89743589744;4428.20512820513;3889.23076923077;4353.84615384615;4095.38461538462;4274.8717948718;1698;1682;295.609;295.253723144531;0;0;0;0;
98;0;441;4106.15384615385;4342.5641025641;5051.28205128205;4847.69230769231;4509.23076923077;4509.74358974359;4199.48717948718;4186.66666666667;4476.41025641026;4431.28205128205;3895.38461538462;4355.38461538462;4100.51282051282;4279.48717948718;1699;1681;295.617;295.253723144531;0;0;0;0;
99;0;441;4106.66666666667;4344.10256410256;5047.17948717949;4845.12820512821;4509.23076923077;4509.23076923077;4202.5641025641;4187.17948717949;4474.35897435897;4434.35897435897;3892.30769230769;4354.8717948718;4104.61538461538;4276.92307692308;1698;1682;295.625;295.253723144531;0;0;0;0;
100;0;464;4107.17948717949;4343.07692307692;5049.23076923077;4842.5641025641;4511.79487179487;4508.20512820513;4205.64102564103;4189.23076923077;4476.41025641026;4435.38461538462;3893.84615384615;4357.4358974359;4106.15384615385;4276.92307692308;1699;1683;295.633;295.253723144531;0;0;0;0;
101;0;437;4106.66666666667;4342.05128205128;5052.30769230769;4845.64102564103;4511.28205128205;4507.17948717949;4207.17948717949;4188.20512820513;4476.41025641026;4433.84615384615;3895.38461538462;4359.48717948718;4107.17948717949;4277.94871794872;1699;1681;295.641;295.253723144531;0;0;0;0;
102;0;441;4105.12820512821;4341.02564102564;5046.15384615385;4847.17948717949;4507.17948717949;4506.66666666667;4204.61538461538;4186.15384615385;4476.41025641026;4431.79487179487;3893.33333333333;4353.84615384615;4107.69230769231;4276.41025641026;1698;1682;295.649;295.253723144531;0;0;0;0;
103;0;441;4104.61538461538;4340.51282051282;5040;4843.07692307692;4511.28205128205;4506.66666666667;4202.5641025641;4186.66666666667;4474.8717948718;4429.23076923077;3893.33333333333;4349.23076923077;4106.66666666667;4276.92307692308;1699;1682;295.656;295.253723144531;0;0;0;0;
104;0;464;4104.10256410256;4340;5041.02564102564;4843.07692307692;4522.05128205128;4508.20512820513;4203.07692307692;4186.66666666667;4473.84615384615;4429.23076923077;3893.84615384615;4351.28205128205;4104.10256410256;4275.89743589744;1699;1681;295.664;295.253723144531;0;0;0;0;
105;0;437;4099.48717948718;4337.4358974359;5038.46153846154;4844.61538461539;4522.05128205128;4508.20512820513;4200.51282051282;4184.61538461538;4470.25641025641;4427.69230769231;3885.64102564103;4349.23076923077;4097.4358974359;4269.74358974359;1699;1681;295.672;295.253723144531;0;0;0;0;
106;0;441;4094.8717948718;4334.35897435897;5034.35897435897;4837.4358974359;4516.92307692308;4507.69230769231;4197.4358974359;4181.02564102564;4464.10256410256;4422.5641025641;3877.4358974359;4343.58974358974;4089.74358974359;4262.5641025641;1699;1681;295.68;295.253723144531;0;0;0;0;
107;0;441;4098.46153846154;4333.33333333333;5035.38461538462;4835.89743589744;4519.48717948718;4508.20512820513;4198.46153846154;4180.51282051282;4467.17948717949;4426.66666666667;3884.10256410256;4346.15384615385;4093.84615384615;4265.64102564103;1700;1679;295.688;295.253723144531;0;0;0;0;
108;0;464;4105.64102564103;4337.94871794872;5039.48717948718;4844.61538461539;4518.46153846154;4508.20512820513;4200;4185.64102564103;4475.89743589744;4433.33333333333;3894.35897435898;4354.35897435897;4104.61538461538;4275.38461538462;1699;1681;295.695;295.253723144531;0;0;0;0;
109;0;437;4105.12820512821;4341.02564102564;5041.53846153846;4847.17948717949;4507.69230769231;4507.69230769231;4201.53846153846;4187.69230769231;4476.92307692308;4431.28205128205;3895.38461538462;4357.4358974359;4107.17948717949;4280;1701;1681;295.703;295.253723144531;0;0;0;0;
110;0;441;4103.58974358974;4337.4358974359;5040.51282051282;4842.5641025641;4508.20512820513;4507.69230769231;4201.02564102564;4184.10256410256;4473.84615384615;4430.25641025641;3893.33333333333;4353.84615384615;4101.02564102564;4277.94871794872;1700;1680;295.711;295.253723144531;0;0;0;0;
111;0;441;4104.61538461538;4334.8717948718;5039.48717948718;4841.02564102564;4521.53846153846;4509.23076923077;4200.51282051282;4185.64102564103;4475.38461538462;4432.30769230769;3893.84615384615;4349.74358974359;4095.89743589744;4271.79487179487;1701;1681;295.719;295.253723144531;0;0;0;0;
112;0;464;4098.97435897436;4330.25641025641;5034.35897435897;4844.10256410256;4522.05128205128;4509.23076923077;4200.51282051282;4184.61538461538;4470.25641025641;4424.10256410256;3883.07692307692;4344.61538461538;4088.20512820513;4264.61538461538;1700;1680;295.727;295.253723144531;0;0;0;0;
113;0;437;4089.74358974359;4321.53846153846;5027.17948717949;4838.97435897436;4508.20512820513;4507.17948717949;4198.97435897436;4173.33333333333;4461.02564102564;4413.33333333333;3868.71794871795;4337.4358974359;4078.97435897436;4258.97435897436;1700;1682;295.735;295.253723144531;0;0;0;0;
114;0;441;4089.74358974359;4320;5023.07692307692;4833.33333333333;4505.12820512821;4506.15384615385;4197.94871794872;4171.79487179487;4457.4358974359;4411.28205128205;3868.20512820513;4332.82051282051;4077.4358974359;4257.94871794872;1701;1681;295.742;295.253723144531;0;0;0;0;
115;0;441;4094.35897435898;4327.69230769231;5027.17948717949;4837.94871794872;4510.76923076923;4507.69230769231;4198.97435897436;4179.48717948718;4458.46153846154;4413.33333333333;3876.41025641026;4336.92307692308;4083.07692307692;4260.51282051282;1700;1682;295.75;295.253723144531;0;0;0;0;
116;0;464;4094.8717948718;4328.71794871795;5033.33333333333;4840;4510.25641025641;4507.69230769231;4199.48717948718;4178.46153846154;4462.05128205128;4417.94871794872;3879.48717948718;4342.05128205128;4086.15384615385;4262.5641025641;1701;1681;295.758;295.253723144531;0;0;0;0;
117;0;437;4092.30769230769;4324.10256410256;5028.20512820513;4836.41025641026;4508.20512820513;4506.66666666667;4197.94871794872;4170.76923076923;4461.53846153846;4419.48717948718;3877.4358974359;4340;4087.17948717949;4262.05128205128;1701;1681;295.766;295.253723144531;0;0;0;0;
118;0;441;4091.28205128205;4323.07692307692;5021.53846153846;4834.8717948718;4507.17948717949;4508.20512820513;4196.92307692308;4169.23076923077;4459.48717948718;4419.48717948718;3876.92307692308;4338.46153846154;4088.71794871795;4262.05128205128;1701;1680;295.774;295.253723144531;0;0;0;0;
119;0;441;4095.38461538462;4325.12820512821;5023.58974358974;4833.84615384615;4511.28205128205;4507.69230769231;4199.48717948718;4175.38461538462;4465.64102564103;4426.66666666667;3879.48717948718;4340.51282051282;4091.79487179487;4264.10256410256;1700;1680;295.781;295.253723144531;0;0;0;0;
120;0;464;4097.4358974359;4327.17948717949;5025.12820512821;4830.25641025641;4521.53846153846;4510.76923076923;4202.5641025641;4182.05128205128;4475.89743589744;4433.84615384615;3882.05128205128;4341.53846153846;4096.41025641026;4263.58974358974;1701;1680;295.789;295.253723144531;0;0;0;0;
121;0;437;4095.38461538462;4327.17948717949;5023.07692307692;4833.84615384615;4523.07692307692;4517.4358974359;4202.5641025641;4186.66666666667;4478.46153846154;4434.35897435897;3881.53846153846;4341.53846153846;4097.4358974359;4263.07692307692;1699;1679;295.797;295.253723144531;0;0;0;0;
122;0;441;4094.8717948718;4327.17948717949;5023.58974358974;4834.35897435897;4519.48717948718;4514.8717948718;4202.05128205128;4182.5641025641;4472.82051282051;4432.30769230769;3879.48717948718;4336.41025641026;4092.82051282051;4262.05128205128;1698;1681;295.805;295.253723144531;0;0;0;0;
123;0;441;4094.35897435898;4326.15384615385;5019.48717948718;4826.15384615385;4518.97435897436;4507.17948717949;4200.51282051282;4174.8717948718;4465.12820512821;4425.64102564103;3875.89743589744;4327.69230769231;4089.74358974359;4255.89743589744;1698;1681;295.813;295.253723144531;0;0;0;0;
124;0;464;4090.76923076923;4323.07692307692;5010.25641025641;4828.20512820513;4515.38461538462;4507.69230769231;4199.48717948718;4169.74358974359;4458.46153846154;4416.41025641026;3867.69230769231;4323.58974358974;4089.74358974359;4248.71794871795;1697;1683;295.821;295.754150390625;0;0;0;0;
125;0;437;4088.20512820513;4319.48717948718;5008.71794871795;4832.30769230769;4507.69230769231;4509.23076923077;4201.53846153846;4168.20512820513;4457.94871794872;4412.30769230769;3862.05128205128;4324.10256410256;4090.25641025641;4246.66666666667;1698;1682;295.828;295.754150390625;0;0;0;0;
126;0;441;4086.66666666667;4321.53846153846;5012.82051282051;4828.20512820513;4509.23076923077;4507.17948717949;4196.41025641026;4168.20512820513;4460;4411.28205128205;3866.66666666667;4324.10256410256;4092.30769230769;4249.23076923077;1696;1683;295.836;295.754150390625;0;0;0;0;
127;0;441;4092.82051282051;4331.28205128205;5017.4358974359;4830.25641025641;4513.33333333333;4508.20512820513;4192.30769230769;4168.20512820513;4458.97435897436;4412.82051282051;3874.8717948718;4328.71794871795;4099.48717948718;4255.89743589744;1697;1684;295.844;295.754150390625;0;0;0;0;
128;0;464;4104.10256410256;4335.89743589744;5022.05128205128;4840;4509.74358974359;4508.20512820513;4196.41025641026;4169.23076923077;4464.61538461538;4418.46153846154;3878.97435897436;4336.41025641026;4106.15384615385;4265.12820512821;1696;1684;295.852;295.754150390625;0;0;0;0;
0;0;443;4105.64102564103;4336.92307692308;5023.07692307692;4840.51282051282;4513.84615384615;4505.12820512821;4192.30769230769;4170.76923076923;4471.79487179487;4424.10256410256;3880;4334.8717948718;4108.20512820513;4266.66666666667;1698;1683;295.86;295.754150390625;0;0;0;0;
1;0;380;4102.5641025641;4341.02564102564;5027.17948717949;4836.92307692308;4517.4358974359;4505.12820512821;4186.66666666667;4171.79487179487;4474.8717948718;4427.69230769231;3881.53846153846;4334.8717948718;4108.20512820513;4265.64102564103;1697;1683;295.867;295.754150390625;0;0;0;0;
2;0;473;4103.58974358974;4343.07692307692;5037.94871794872;4840.51282051282;4513.33333333333;4506.15384615385;4195.38461538462;4171.79487179487;4475.38461538462;4429.23076923077;3887.17948717949;4339.48717948718;4112.30769230769;4275.38461538462;1698;1680;295.875;295.754150390625;0;0;0;0;
3;0;482;4105.64102564103;4342.05128205128;5041.02564102564;4843.07692307692;4512.30769230769;4506.66666666667;4204.10256410256;4176.92307692308;4476.41025641026;4429.23076923077;3893.33333333333;4344.61538461538;4117.4358974359;4280.51282051282;1699;1681;295.883;295.754150390625;0;0;0;0;
