COUNTER;INTERPOLATED;RAW_CQ;AF3;F7;F3; FC5; T7; P7; O1; O2;P8;T8; FC6; F4;F8; AF4;GYROX; GYROY; TIMESTAMP; ES_TIMESTAMP;FUNC_ID; FUNC_VALUE; MARKER; SYNC_SIGNAL;
51;0;0;4096.92307692308;4304.10256410256;5060.51282051282;4841.02564102564;4504.10256410256;4490.25641025641;4183.07692307692;4184.61538461538;4451.28205128205;4433.33333333333;3892.82051282051;4381.53846153846;4121.02564102564;4281.53846153846;1701;1681;598.878;598.537780761719;0;0;0;0;
52;0;0;4097.4358974359;4303.07692307692;5060.51282051282;4844.10256410256;4505.64102564103;4491.28205128205;4186.15384615385;4181.53846153846;4447.17948717949;4429.23076923077;3892.30769230769;4381.53846153846;4121.02564102564;4282.05128205128;1699;1680;598.886;598.537780761719;0;0;0;0;
53;0;0;4095.38461538462;4302.05128205128;5066.15384615385;4846.15384615385;4505.12820512821;4490.25641025641;4191.28205128205;4182.05128205128;4444.61538461538;4426.66666666667;3884.61538461539;4381.02564102564;4113.33333333333;4281.02564102564;1699;1682;598.894;598.537780761719;0;0;0;0;
54;0;0;4091.79487179487;4300.51282051282;5069.23076923077;4843.07692307692;4504.10256410256;4490.76923076923;4194.8717948718;4183.58974358974;4448.20512820513;4428.71794871795;3882.05128205128;4383.58974358974;4110.76923076923;4279.48717948718;1699;1680;598.901;598.537780761719;0;0;0;0;
55;0;0;4094.8717948718;4304.10256410256;5069.23076923077;4846.66666666667;4506.66666666667;4493.84615384615;4193.84615384615;4185.64102564103;4453.84615384615;4430.76923076923;3889.74358974359;4391.28205128205;4116.92307692308;4284.61538461538;1698;1682;598.909;598.537780761719;0;0;0;0;
56;0;0;4100.51282051282;4310.76923076923;5069.74358974359;4851.28205128205;4508.71794871795;4493.84615384615;4190.76923076923;4187.17948717949;4457.4358974359;4431.28205128205;3887.69230769231;4398.46153846154;4114.35897435897;4288.71794871795;1699;1681;598.917;598.537780761719;0;0;0;0;
57;0;0;4100;4307.69230769231;5071.28205128205;4848.71794871795;4507.17948717949;4490.76923076923;4196.92307692308;4186.15384615385;4456.92307692308;4428.71794871795;3880.51282051282;4398.46153846154;4108.20512820513;4283.58974358974;1699;1681;598.925;598.537780761719;0;0;0;0;
58;0;0;4094.35897435898;4301.02564102564;5071.28205128205;4845.12820512821;4507.17948717949;4491.79487179487;4202.05128205128;4185.12820512821;4455.89743589744;4428.71794871795;3881.53846153846;4390.76923076923;4110.25641025641;4278.97435897436;1699;1681;598.933;598.537780761719;0;0;0;0;
59;0;0;4093.84615384615;4305.12820512821;5069.74358974359;4843.58974358974;4509.23076923077;4493.33333333333;4198.46153846154;4187.17948717949;4456.41025641026;4428.20512820513;3881.53846153846;4383.07692307692;4110.25641025641;4281.02564102564;1698;1682;598.94;598.537780761719;0;0;0;0;
60;0;0;4101.02564102564;4309.74358974359;5069.23076923077;4844.61538461539;4507.69230769231;4490.76923076923;4198.97435897436;4185.12820512821;4457.4358974359;4429.23076923077;3882.5641025641;4380;4107.69230769231;4287.69230769231;1699;1681;598.948;598.537780761719;0;0;0;0;
